Title,Latitude,Longitude,County,Visited,Date,HeritageGroup,Link,Note
Wimpole Estate,52.140004,-0.048846,Cambridgeshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cambridgeshire/wimpole-estate,
Dinefwr,51.882099,-4.01424,Carmarthenshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/dinefwr,
Dolaucothi,52.0443,-3.94824,Carmarthenshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/dolaucothi,
Hafod Estate,52.347167,-3.809934,Ceredigion,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/hafod-estate,
Llanerchaeron,52.218201,-4.22546,Ceredigion,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/llanerchaeron,
Penbryn,52.139237,-4.491561,Ceredigion,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/penbryn,
Alderley Edge and Cheshire Countryside,53.296501,-2.21235,Cheshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/alderley-edge-and-cheshire-countryside,
Hare Hill,53.28368,-2.188858,Cheshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/hare-hill,
Little Moreton Hall,53.126499,-2.24874,Cheshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/little-moreton-hall,
Lyme,53.337002,-2.05322,Cheshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/lyme,
Nether Alderley Mill,53.281101,-2.23655,Cheshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/nether-alderley-mill,
Quarry Bank,53.345158,-2.240885,Cheshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/quarry-bank,
Tatton Park,53.327599,-2.37039,Cheshire,no,,National Trust,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/tatton-park,
Aberconwy House,53.28157,-3.82847,Conwy,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/aberconwy-house,
Bodnant Garden,53.236099,-3.79996,Conwy,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/bodnant-garden,
Conwy Suspension Bridge,53.281128,-3.828009,Conwy,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/conwy-suspension-bridge,
Great Orme,53.332401,-3.855484,Conwy,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/great-orme,
Tŷ Mawr Wybrnant,53.052502,-3.83218,Conwy,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/ty-mawr-wybrnant,
Ysbyty Ifan,53.023045,-3.726415,Conwy,no,,National Trust,https://www.nationaltrust.org.uk/visit/wales/ysbyty-ifan,
Antony,50.3848,-4.22563,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/antony,
Boscastle,50.690528,-4.694683,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/boscastle,
Bosveal,50.107933,-5.113446,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/bosveal,
Botallack,50.140729,-5.689126,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/botallack,
Cadsonbury,50.482736,-4.336397,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/cadsonbury,
Cape Cornwall,50.127187,-5.708801,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/cape-cornwall,
Carne and Pendower,50.207385,-4.937177,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/carne-and-pendower,
Carnewas at Bedruthan,50.481323,-5.032061,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/carnewas-at-bedruthan,
Chapel Porth,50.300003,-5.234277,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/chapel-porth,
Cotehele,50.494301,-4.22487,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/cotehele,
Cotehele Mill,50.492164,-4.233089,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/cotehele-mill,
Crantock Beach,50.407092,-5.113636,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/crantock-beach,
Duckpool,50.87657,-4.557695,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/duckpool,
East Pool Mine,50.231016,-5.262162,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/east-pool-mine,
Fowey Estuary,50.328865,-4.642749,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/fowey-estuary,
Glendurgan Garden,50.10914,-5.116531,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/glendurgan-garden,
Godolphin,50.1367,-5.36116,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/godolphin,
Godrevy,50.238321,-5.393736,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/godrevy,
Gunwalloe,50.041934,-5.270181,Cornwall,no,,National Trust,https://www.nationaltrust.org.uk/visit/cornwall/gunwalloe,
